iter	MultiClass
0	12.68855366
1	51.35070121
2	113.5408566
3	39.69794946
4	85.98119119
5	76.68922784
6	64.18392383
7	55.98616932
8	65.71290778
9	59.6064604
10	55.78836495
11	66.80428847
12	70.82894976
13	67.45336575
14	58.62294085
15	50.52352371
16	44.81289051
17	42.53101738
18	41.21539513
19	38.98227918
20	37.4319417
21	37.37568435
22	37.30351758
23	36.23240636
24	35.24903876
25	37.82030108
26	33.90690303
27	32.94120067
28	31.97250626
29	30.75455986
30	29.75244819
31	28.38968316
32	28.09351807
33	28.60782268
34	28.18018753
35	28.36277563
36	26.64045069
37	28.52783023
38	26.66811478
39	25.94657302
40	26.43526645
41	26.46429918
42	26.21288345
43	25.93750445
44	24.54492813
45	24.63495938
46	23.948761
47	23.63774111
48	23.40326436
49	22.96180361
