iter	Passed	Remaining
0	2158	105764
1	4138	99315
2	6198	97107
3	8228	94633
4	10178	91603
5	12108	88797
6	14084	86520
7	15423	80973
8	17363	79098
9	19320	77281
10	21327	75614
11	23359	73970
12	25409	72318
13	27527	70786
14	29679	69252
15	31898	67784
16	34105	66205
17	36319	64567
18	38552	62901
19	40834	61251
20	43091	59507
21	45525	57941
22	47835	56154
23	50160	54340
24	52452	52452
25	54839	50620
26	57268	48784
27	59628	46851
28	61971	44875
29	64302	42868
30	66633	40840
31	68942	38780
32	71245	36701
33	73548	34611
34	75884	32521
35	78238	30426
36	80702	28355
37	83118	26247
38	85438	24097
39	87826	21956
40	90347	19832
41	92708	17658
42	95132	15486
43	97633	13313
44	100096	11121
45	102408	8905
46	104776	6687
47	107094	4462
48	109398	2232
49	111671	0
